最大值,最小值,极差,均值,整流均值,均方根,能量对数,方差,标准差,峭度,偏度,裕度,波形特征,峰值因子1,峰值因子2,差分-最大值,差分-最小值,差分-极差,差分-均值,差分-整流均值,差分-均方根,差分-能量对数,差分-方差,差分-标准差,差分-峭度,差分-偏度,差分-裕度,差分-波形特征,差分-峰值因子1,差分-峰值因子2,LL能量,LH能量,HL能量,HH能量,信息熵,信息量,奇异值0,奇异值1,奇异值2,奇异值3,lable
-0.918055,-1.39563,0.477575,-1.192179,1.192179,1.199471,-2.265877,0.01744,0.134106,1.044878,0.599638,-0.772532,1.006116,-0.765383,-0.770064,0.074187,-0.15301,0.227197,0.002173,0.041585,0.051534,-10.576488,0.002651,0.052312,3.450576,-7.174977,2.094003,1.239243,1.439576,1.783985,52.414149,0.010801,0.005401,0.007296,0.006315,52.390665,7.239763,0.104011,0.08523,0.073477,0
-0.927329,-1.39563,0.468301,-1.188948,1.188948,1.195922,-2.47177,0.016632,0.130965,1.042885,0.652203,-0.782359,1.005866,-0.775409,-0.779958,0.088096,-0.15301,0.241106,-0.000145,0.036948,0.04829,-11.13352,0.002332,0.049062,4.352986,-6.922925,2.859858,1.306959,1.824313,2.384302,51.962121,0.009176,0.001995,0.009393,0.005581,51.941568,7.208476,0.096927,0.095761,0.044655,0
-0.908782,-1.349263,0.440481,-1.174195,1.174195,1.181885,-2.099952,0.018119,0.136693,1.048035,0.566396,-0.776616,1.006549,-0.768926,-0.773962,0.078823,-0.074186,0.153009,0.000435,0.037528,0.044782,-11.789014,0.002005,0.045496,2.025133,2.657164,2.386951,1.193292,1.760161,2.100385,48.718089,0.009812,0.001944,0.007615,0.005604,48.698729,6.979836,0.099007,0.087306,0.043955,0
-0.908782,-1.372446,0.463664,-1.183468,1.183468,1.190399,-2.518973,0.016452,0.130255,1.04296,0.623232,-0.770254,1.005856,-0.763427,-0.767897,0.078823,-0.129826,0.208649,0.00058,0.039701,0.048408,-11.112915,0.002343,0.049179,2.924339,-3.818922,2.253339,1.219306,1.628309,1.985407,51.441912,0.010483,0.004233,0.010276,0.006768,51.416936,7.172306,0.102095,0.101359,0.065061,0
-0.908782,-1.372446,0.463664,-1.180939,1.180939,1.187853,-2.538469,0.016379,0.129963,1.043087,0.596163,-0.7719,1.005855,-0.765063,-0.769542,0.092733,-0.129826,0.222559,0.001014,0.038977,0.048443,-11.107961,0.002346,0.049207,3.007945,-3.975994,2.855771,1.24286,1.914284,2.379186,51.106938,0.0051,0.003836,0.012481,0.005887,51.085534,7.148914,0.111733,0.071474,0.061562,0
-0.945875,-1.3539,0.408025,-1.178129,1.178129,1.184746,-2.740038,0.015636,0.126982,1.042253,0.412381,-0.805195,1.005617,-0.798378,-0.802862,0.097369,-0.12519,0.222559,-0.00058,0.037383,0.046236,-11.511717,0.002137,0.046972,3.134028,-1.458032,3.051793,1.236816,2.105919,2.604633,50.030027,0.010089,0.003075,0.008395,0.006059,50.008482,7.073192,0.100396,0.091606,0.055452,0
-0.945875,-1.363173,0.417298,-1.177286,1.177286,1.183636,-2.922224,0.014993,0.124346,1.040497,0.448286,-0.805682,1.005394,-0.799126,-0.803437,0.097369,-0.102006,0.199375,0.00058,0.036514,0.044759,-11.793702,0.002003,0.045472,2.478563,0.279967,3.239551,1.225825,2.175397,2.666655,49.887285,0.01063,0.003331,0.005995,0.005665,49.86734,7.063095,0.103032,0.077429,0.057669,0
-0.899509,-1.358536,0.459027,-1.179253,1.179253,1.186278,-2.475639,0.016617,0.130906,1.043828,0.589756,-0.765157,1.005957,-0.758262,-0.762779,0.060276,-0.120553,0.180829,0.001449,0.039122,0.046337,-11.496221,0.002145,0.047056,2.603882,-6.114909,1.722078,1.184442,1.300805,1.540729,51.619191,0.003851,0.007272,0.005245,0.004629,51.60283,7.184652,0.085347,0.07225,0.061868,0
1.388277,1.096008,0.292269,1.250999,1.250999,1.252647,-8.523936,0.004128,0.065245,1.010525,0.029561,1.110468,1.001318,1.108274,1.109735,0.219202,-0.146135,0.365337,0.002283,0.07535,0.092243,-5.514633,0.008504,0.09369,2.399086,3.143541,3.858253,1.224183,2.37636,2.909099,56.70045,0.050245,0.052826,0.016272,0.02473,56.581456,7.529972,0.229846,0.224099,0.127557,0
1.315209,1.096008,0.219201,1.242142,1.242142,1.243444,-9.581635,0.003236,0.057765,1.008213,-0.385357,1.059385,1.001048,1.057715,1.058823,0.146134,-0.146134,0.292268,-0.004567,0.059367,0.073067,-7.55319,0.005318,0.074091,2.125,-0.633592,3.484738,1.230769,2,2.461538,55.178437,0.035798,0.026817,0.016188,0.017699,55.099788,7.428222,0.1891,0.163758,0.127233,0
1.461344,1.169075,0.292269,1.239928,1.239928,1.242077,-7.410763,0.005334,0.074166,1.015068,1.517194,1.179554,1.001733,1.176533,1.178572,0.292269,-0.219202,0.511471,0.004567,0.077634,0.103333,-4.53436,0.010657,0.104883,3.781265,4.877378,5.335683,1.331026,2.82843,3.764713,55.534243,0.066564,0.040272,0.050154,0.032321,55.377849,7.452135,0.257954,0.224216,0.200265,0
